path,human,ground,auto,prosodic,ground_wer,ground_cer,auto_wer,auto_cer,prosodic_wer,prosodic_cer,prossegue,prossegue_wer,prossegue_cer
SP_DID_234_seg_1053.33_1061.60.wav,é um filme eh muito bom de após guerra eu gostei é um filme de amor umas cenas maravilhosas lindo o filme,é um filme muito bom de após guerra eu gostei é um filme de amor umas cenas maravilhosas lindo filme,tem um filme é muito bom de após terra é um pê um filme de boa cenas mais assim o fim,é um filme muito bom de a voz,0.0909,0.0476,0.5,0.3619,0.7273,0.7333,e um filme é muito bom ver o filme meu filho que é novo para ser um filme bom de novo para ser um filme,0.8181818181818182,0.6095238095238096
SP_DID_234_seg_570.67_572.04.wav,eu tenho a impressão que é mais difícil,eu tenho a impressão que é mais difícil,eu tenho a impressão que é mais difícil,eu tenho a impressão que é mais difícil,0.0,0.0,0.0,0.0,0.0,0.0,eu tenho a impressão que é mais difícil,0.0,0.0
SP_DID_234_seg_724.15_742.92.wav,por exemplo aquele teatro que tem lá na rua dos ingleses que passou essa peça essa comédia que nós comentamos eu tenho a impressão que lá é mais assim ah não tem tanto preparo tanto ah tanta encenação eu acho que o pessoal ah deve ser grupo de estudantes né que fazem esse teatro,por exemplo aquele teatro que tem lá na rua dos ingleses que passou essa peça essa comédia que nós comentávamos eu tenho a impressão que lá é mais assim ah não tem tanto preparo tanto a encenação eu acho que o pessoal deve ser grupo de estudantes que fazem esse teatro,por exemplo aquele teatro que tem o amarro das empresas que são as pessoas da sua mulher que dão dinheiro tem umas salta de um dinheiro e tem um resultado assim a senhora assim da sua rua se vinha e danos e já tinha de,por exemplo aquele teatro que tinha na rua nos rindo e eles não viram,0.0926,0.0538,0.8519,0.5842,0.8519,0.7814,por exemplo aqui de perto aqui tem o arroz e que existe na sua,0.9074074074074074,0.8028673835125448
SP_DID_234_seg_409.77_412.93.wav,eu disse meu deus foi domingo à tarde mas uma molecada!,eu disse meu deus foi domingo à tarde mais uma molecada,e eu disse meu deus fui dormindo a tavê mais uma molecada,eu disse meu deus fui domingo à tarde e nós usamos uma etada,0.1818,0.0364,0.6364,0.2,0.4545,0.2545, eu disse meu deles foi domínio a tarde nós uma mulher atada,0.5454545454545454,0.24074074074074073
SP_DID_234_seg_1241.54_1242.76.wav,foi tão comentado sabe,foi tão comentado sabe,foi então que sabe,foi então,0.0,0.0,0.5,0.4545,0.75,0.6364,foi tão comentado saber,0.25,0.045454545454545456
SP_DID_234_seg_1684.04_1688.12.wav,porque você vê em todos os lares o pessoal assiste televisão,porque você vê em todos os lares o pessoal assiste televisão,porque serem todos os lares o pessoal assiste verizão,porque você vê em todos os áreas são pessoal assiste televisão,0.0,0.0,0.3636,0.2167,0.1818,0.0833,porque se vindo em panos os mares o pessoal assiste televisão,0.36363636363636365,0.2
SP_DID_234_seg_863.41_864.24.wav,do outro lado,no outro lado,do outro lado,pou para o lado,0.3333,0.0769,0.0,0.0,1.0,0.5385,bou para o lado,1.0,0.5384615384615384
SP_DID_234_seg_386.79_391.86.wav,mas essa tinha tanta molecada mas eu achei fabulosa também muito foi comédia,mas essa tinha tanta molecada mas eu achei fabulosa também muito por comédia,mas essa tinha tanta molecada mas se o aviva do osa também do do e pôr,mas essa tinha tanta molecada assim quando eu tinha gozinha,0.0769,0.0263,0.6923,0.3289,0.6154,0.4605,mas essa tinha tendo a mulher para fazer o assim chá rosa vai vim um vim vim e,1.1538461538461537,0.5657894736842105
SP_DID_234_seg_909.19_910.14.wav,e a atrapalhar também,e a atrapalhar também,e aí veio também,e a mãe tem a gente também,0.0,0.0,0.5,0.5238,1.0,0.619,já está lá para mim,1.25,0.7619047619047619
SP_DID_234_seg_1197.09_1197.69.wav,ela gostou,ela gostou,ela gostou,ela gostou,0.0,0.0,0.0,0.0,0.0,0.0,ela dos tosou,1.0,0.4
SP_DID_234_seg_838.92_840.07.wav,me chocou tremendamente,me chocou tremendamente,me chocou tremendamente,me chocou tremendamente,0.0,0.0,0.0,0.0,0.0,0.0,mei socorro prerrindo a mente,1.6666666666666667,0.5652173913043478
SP_DID_234_seg_643.76_644.65.wav,e no teatro não né,e no teatro não né,tenão teatro ou não né,e eu vou teatro um né,0.0,0.0,0.6,0.3333,0.6,0.4444,e no pé atrubo né,0.4,0.3888888888888889
SP_DID_234_seg_1947.88_1952.48.wav,depois passou uma época que você ia ao cinema tinha que ficar de pé numa fila enorme não é,depois passou uma época que você ia ao cinema tinha que ficar de pé numa filha enorme não é,depois passou uma época que você ia com os invernos a tives e estava vivendo lá fiquei enorme,depois passou uma época ele saía assim na dito e vinte e,0.0526,0.0111,0.6316,0.4556,0.7895,0.5222,depois passou uma época que se ia rindo assim vinha e jantar ele mora ali por lá,0.6842105263157895,0.43333333333333335
SP_DID_234_seg_840.43_843.58.wav,porque eh por detrás dos bastidores é uma coisa horrível né?,porque por detrás dos bastidores é uma coisa horrível né,porque por detras dos mitingos até uma coisão livre né,porque por detrás dos aí,0.1818,0.0667,0.6364,0.3667,0.6364,0.6,porque estou de trás dos bastidores e ser uma coisa horrível né?,0.45454545454545453,0.1694915254237288
SP_DID_234_seg_1178.85_1182.34.wav,ah eram filmes que tocavam mais as pessoas,eram filmes que tocavam mais as pessoas,mas eram filmes que tocavam mais as pessoas,ah eram filmes que tocavam mais as pessoas,0.125,0.0714,0.125,0.0476,0.0,0.0,ah era um filme esticotá com os exercícios,0.875,0.5714285714285714
SP_DID_234_seg_887.69_888.33.wav,depois eu larguei,pois o lanter,depois se eu não tinha,depois eu,1.0,0.4706,1.0,0.7059,0.3333,0.4706,depois se eu larguei,0.3333333333333333,0.17647058823529413
SP_DID_234_seg_1926.74_1928.70.wav,hoje sei lá os cinemas estão uma bagunça tremenda,hoje sei lá os cinemas estão uma bagunça também ainda,pode ser ir lá aos bens,hoje sei lá o seu,0.2222,0.1429,1.0,0.7143,0.6667,0.6531,olha assim lá eu assinei uma sessão vamos lá a nossa camida,1.2222222222222223,0.7142857142857143
SP_DID_234_seg_1810.04_1813.17.wav,a gente ia ao cinema tinha em são paulo tem uns cinemas ótimos,a gente ia ao cinema tinha em são paulo tinha os cinemas ótimos,a gente que ia ao zineno a de são paulo que se ririnha,a gente que ia ao cinema tinha em são paulo isso,0.1538,0.0968,0.6154,0.5,0.3846,0.371,mas a gente que ia assim que você tinha que ser bar com os seus vejinhos,0.9230769230769231,0.6935483870967742
SP_DID_234_seg_855.31_862.52.wav,era tão criança eu me lembro que eu já achava diferente o municipal era lindo maravilhoso visto do lado de cá né,eu era tão criança eu me lembro que eu já achava diferente o municipal era lindo maravilhoso visto do lado de cá né,era tão criança eu me lembro que eu já achava que eu nunca vi,era tão criança eu me lembro que eu já estava vivendo e tinha que morrer a risada e arragava os seus,0.0455,0.0268,0.5455,0.5,0.5909,0.4821,era tão criança o meneiro que já a sala de aceitei de um ir se ral,0.7727272727272727,0.5803571428571429
SP_DID_234_seg_2158.55_2159.21.wav,não,não,foi,não,0.0,0.0,1.0,1.0,0.0,0.0,,1.0,1.0
SP_DID_234_seg_2135.66_2136.34.wav,novela como,novela como,não ver como,novela com,0.0,0.0,1.0,0.3636,0.5,0.0909,novelo vê lá com o,2.5,0.7272727272727273
SP_DID_234_seg_1776.35_1779.93.wav,como você diz descrever um um um filme,como você de descrever um um um filme,conceis despreveram um filme,como você diz descrever um um filme,0.125,0.0526,0.75,0.3947,0.125,0.0789,quando se diz de estreguer um um tiro-miro,0.625,0.6052631578947368
SP_DID_234_seg_2192.20_2193.17.wav,era isso que se falava,era isso que se falava,era isso o que você falava,e era isso o que você falava,0.0,0.0,0.4,0.2727,0.6,0.3636,era isso o que você falava,0.4,0.2727272727272727
SP_DID_234_seg_2177.18_2187.49.wav,ontem eu assisti carvalho pinto falando com donas de casa a filha dele e o sônia ribeiro alik kostakis então eu assisti,conte eu assisti a ralho pinto falando com donas de casa a filha dele e o sonha ribeiro ali que gostar então eu assisti,bom tem eu assisto e cavaro o pinto faltando com o,ontem eu assisti carvaro pinto o fernando tem um ano e você vê uma vez que tem um,0.3182,0.1261,0.9545,0.7143,0.7727,0.5798,ontinho eu assisto e casal indo para o rindo os estudos do mundo de grava a ele a gente sempre assinava e,0.9545454545454546,0.6302521008403361
SP_DID_234_seg_179.29_180.02.wav,faz tempo que eu assisti,faz tempo o castigo,faz tempo que eu assisti,faz tempo que eu assisti,0.6,0.4167,0.0,0.0,0.0,0.0,faz tempo que eu assiste,0.2,0.041666666666666664
SP_DID_234_seg_1050.89_1051.66.wav,a filha de ryan,na filha de raio,a filha de onde,a filha de que o,0.5,0.2667,0.25,0.2667,0.5,0.3333,a filha vivia a,0.5,0.4666666666666667
SP_DID_234_seg_758.96_763.33.wav,agora várias peças que eu assisti eu achei diferente,agora várias peças que eu assisti eu achei diferente,abora várias peças que eu assisti eu achei diferente,agora várias peças que eu assisti e eu achei diferente,0.0,0.0,0.1111,0.0192,0.1111,0.0385,agora várias peças que eu assisti às vezes a gente,0.4444444444444444,0.21153846153846154
SP_DID_234_seg_1751.61_1752.98.wav,precisaria ter mais divulgação,prezaria ter mais divulgação,precisaria ter mais de inundação,precisaria ter mais de rubação,0.25,0.1,0.5,0.1667,0.5,0.1667,precisarem a que mais de lulação,1.25,0.3333333333333333
SP_DID_234_seg_1225.19_1227.65.wav,umas cenas doidas!,nas cenas doidas,com umas cenas doidas,com umas cenas doidas,0.6667,0.1667,0.6667,0.2778,0.6667,0.2778,com umas cenas doidas,0.3333333333333333,0.23529411764705882
SP_DID_234_seg_392.61_393.68.wav,achei ótima,achei ótima,achei ótima,achei ótima,0.0,0.0,0.0,0.0,0.0,0.0,passei ótima,0.5,0.2727272727272727
SP_DID_234_seg_1333.68_1340.16.wav,cenário fundo musical ou tema do filme né,cinário fulmo musical o tema do filme né,cinário fundo musical ou pena do filme né,cinário fundo musical o tema do filme né,0.375,0.0976,0.25,0.0732,0.25,0.0488,silar o fundo do meu dia itaú quem lançou o filme né?,1.125,0.6341463414634146
SP_DID_234_seg_2022.77_2024.79.wav,apresentação anterior do filme?,apresentação anterior do filme,apresentação interior do filme,apresentação anterior do filme,0.25,0.0323,0.5,0.0645,0.25,0.0323,apresentação anterior do ciúme,0.25,0.06666666666666667
SP_DID_234_seg_1438.47_1444.32.wav,um tipo de filme como o mágico de oz que todo mundo achou maravilhoso parece que está voltando agora,um tipo de filme como o mágico de ossos que todo mundo achou maravilhoso parece que está voltando agora,um tipo de filme iconou mágico que pensa o mundo acha maravilhoso está legal isso que eu estou dando agora,um tipo de filme como mágia se o filho de trono raro,0.0526,0.04,0.6842,0.39,0.7368,0.56,um tipo de filme quando o ásio é que eu isso tudo o rosto do mundo azevisão bá vá vá vá vá vá vá vá,1.0,0.61
SP_DID_234_seg_146.51_147.24.wav,fala a verdade,fala a verdade,fala a verdade,fala a verdade,0.0,0.0,0.0,0.0,0.0,0.0,falar a verdade,0.3333333333333333,0.07142857142857142
SP_DID_234_seg_1507.59_1510.37.wav,quais os outros elementos além do dos artistas principais,quais os outros elementos além dos artistas principais,quais os outros elementos além dos artistas,quais os outros elementos além dos artistas principais,0.1111,0.0526,0.2222,0.2456,0.1111,0.0526,quais os outros segmentos saem donos artistas principais,0.4444444444444444,0.14035087719298245
SP_DID_234_seg_192.69_194.19.wav,mas foi uma peça muito comentada,mas foi uma peça muito comentada,mas foi uma peça muito ruim das,mas foi uma peça muito dano e,0.0,0.0,0.3333,0.25,0.3333,0.25,mas foi uma peça muito comentada,0.0,0.0
SP_DID_234_seg_755.90_757.47.wav,eu não sei como é que eles chamam,eu não sei como é que eles chamam,eu não sei como é que eles chamam,eu não sei como é que eles chamam,0.0,0.0,0.0,0.0,0.0,0.0,eu não sei como é que é essa mão,0.375,0.24242424242424243
SP_DID_234_seg_1915.15_1926.74.wav,mas eu eu achava bom ir ao cinema um local gostoso antigamente até tinha órgão que tocava no no cine marabá aquele ar condicionado,mas eu eu achava bom ir ao cinema um local gostoso antigamente até tinha órgão que tocava no no no cinema araba aquele ar-condicionado,mas eu eu achava bom ir aos rindo as coisas né,mas eu que eu trabalhava uma graus ser um assim ou eu as malestras e disse que ele viu as um aluguel eu precisava de um aluno rindo que ele desceira o,0.2083,0.0615,0.75,0.7,1.1667,0.7615,mas eu eu a sala com o de pausa o alôsse ui pausa,0.875,0.7384615384615385
SP_DID_234_seg_834.53_836.22.wav,era pássaro de fogo me parece,era pássaro de fogo me parece,era passar o de fogo me parece,ela passada de fogo me parece,0.0,0.0,0.3333,0.069,0.3333,0.1379,era passava o berçodo me parece,0.5,0.27586206896551724
SP_DID_234_seg_2169.38_2175.04.wav,agora começam a os os programas de de política,agora começam a os os programas de de política,agora a comissão aos seus problemas de ver política,agora começamos aos os programas de política,0.0,0.0,0.6667,0.3478,0.4444,0.1304,agora a coleção aos rastrômenos de dentro do líquida,0.7777777777777778,0.5434782608695652
SP_DID_234_seg_848.99_853.95.wav,quando aparece em cena o público vê uma coisa totalmente bonita né aquelas luzes,quando aparece em cena o público é uma coisa totalmente bonita né aquelas luzes,quando aparece em cena o público ela está totalmente bonita,quando aparece em cena o público vem lá,0.0714,0.025,0.4286,0.3375,0.5714,0.5375,quando aparece em cena eu comi comi uma coisa quando um indir eu me perra pelas horas,0.7857142857142857,0.475
SP_DID_234_seg_572.43_574.93.wav,porque a televisão é horroroso quando eles estão fazendo programa,a televisão é horroroso quando eles estão fazendo o programa,porque a televisão é horroroso quando eles se estão fazendo,porque a televisão é orgulhoso quando eles estão fazendo programa,0.2,0.1385,0.2,0.1846,0.1,0.0769,porque a televisão é um rolo lógico como ele e disse assim um problema,1.0,0.5076923076923077
SP_DID_234_seg_1246.55_1247.40.wav,achei horrível,nasseu o rífio,fazia horrível,achei horrível,1.5,0.6429,0.5,0.3571,0.0,0.0,fazém o livre viu,2.0,0.9285714285714286
SP_DID_234_seg_428.65_437.49.wav,eu acho que vai mais estudante mais molecadinha rapazes sei lá eu não parece que a gente se sente até mais assim por fora,eu acho que vai mais estudante mais molecadinha rapazes sei lá eu não parece que a gente se sente até mais assim por fora,eu acho que vai mais estudante mais né,eu acho que vai mais estudando também às vezes se possível,0.0,0.0,0.7083,0.686,0.75,0.6446,e eu acho que vai mais isso tudo para ver mas não é para casa se vai alguma vai assim a gente se dizia se desespera assim é não né uva,0.9166666666666666,0.6198347107438017
SP_DID_234_seg_1534.15_1536.68.wav,porque o teatro eu acho que está tão caro,porque o teatro acho que está tão caro,porque o teatro eu acho que está tão caro,porque o teatro eu acho que está tão caro,0.1111,0.0732,0.0,0.0,0.0,0.0,toquei o teatro e o aço que está faltado,0.6666666666666666,0.3170731707317073
SP_DID_234_seg_1294.60_1295.66.wav,nós saímos para ir ao teatro,nós saímos para ir ao teatro,nós saímos para ir ao teatro,nós saímos para ir ao teatro,0.0,0.0,0.0,0.0,0.0,0.0,nós saímos para aí na pedra,0.5,0.2857142857142857
SP_DID_234_seg_1786.32_1787.49.wav,eu não entendi a pergunta,eu não entendi a pergunta,eu não entendi a pergunta,eu não entendi a pergunta,0.0,0.0,0.0,0.0,0.0,0.0,não não entende a pergunta,0.4,0.16
SP_DID_234_seg_1628.11_1637.39.wav,porque o o o essa parte estudantil que está se interessando para iss por isso está tomando assim m maior impulso,porque o o o essa parte estudantil que está se interessando para ir por isso está tomando assim um maior impulso,porque eu essa parte esse um dia se vê assim a rua só assim,porque essa parte ruim e se essas e eles são,0.0952,0.0268,0.7619,0.625,0.8095,0.6607,porque essa táca isso que não tinha o que estar assim,0.8095238095238095,0.6696428571428571
SP_DID_234_seg_1182.34_1184.79.wav,hoje em dia os filmes são mais vazios sei lá,hoje em dia os filmes são mais vazios sim tá,hoje em dia os filmes são mais vazos sei lá,hoje em dia os filmes são mais vazios sila,0.2,0.0682,0.1,0.0227,0.2,0.0682,hoje em dia os tínhamos uma missão mais da,0.6,0.4772727272727273
SP_DID_234_seg_817.03_834.53.wav,então para mim era uma novidade né teatro porque só estudando estudando estudando quando chegou o ballet russo aqui em são paulo eles pediram que as alunas do do do da prefeitura que éramos nós aquele grupo todo fosse fazer cena num num num dos números que eles apresentavam,então para mim era uma novidade né teatro porque só estudando estudando estudando quando chegou o balé russó aqui em são paulo eles pediram que as alunas do do da prefeitura que éramos nós aquele grupo todo fosse fazer cena num num num dos números que eles apresentavam,então para mim era uma novidade em dia de arta de um povo só de tocando os outros os rastros gostavam que se vêm assim de todas já,então para mim era uma novidade,0.0612,0.0255,0.8571,0.6752,0.8776,0.8869,então para mim é uma novidade eu ia pegar com alguns três faixas que o serviço e o gênero que nós falamos assim assim como não temos que aprender a,0.8163265306122449,0.6423357664233577
SP_DID_234_seg_691.05_693.35.wav,sei lá deve ser não sei como eles chamam,eu sei lá deve ser não sei como eles chamam,se não há bem-vê não sei como eles chamam,se ela deve ser não sei como eles chamam,0.1111,0.075,0.4444,0.3,0.2222,0.075,se lá deve ser um circo ruim e xarão,0.6666666666666666,0.475
SP_DID_234_seg_1595.55_1597.06.wav,eu tenho a impressão que mais por cinema,eu tenho a impressão que mais por cinema,eu tenho a impressão que mais coximeana,eu tenho a impressão que mais por cinema,0.0,0.0,0.25,0.175,0.0,0.0,eu tenho a impressão que mais tosse nela,0.25,0.15
SP_DID_234_seg_1278.77_1279.44.wav,um filme,um filme,com o filme,um filme,0.0,0.0,1.0,0.5,0.0,0.0,um filme que,0.5,0.5
SP_DID_234_seg_22.02_27.31.wav,tem um grupinho que nós eh um grupo assim da minha idade que vai sempre ao teatro,tem um grupinho que nós eh um grupo assim da minha idade que vai sempre teatro,pelo um livro tinha que nós em um burroba entre mim e ficava,tem a gente olha ali no azul né aprendia para mim que você olha,0.0588,0.037,0.8235,0.6296,0.8824,0.679,tem um grupinho que nós eu andrucou assim na minha idade assim a,0.5294117647058824,0.3333333333333333
SP_DID_234_seg_166.21_166.88.wav,gostei muito,gostei muito,gostei muito,gostei muito,0.0,0.0,0.0,0.0,0.0,0.0,gostei muito,0.0,0.0
SP_DID_234_seg_1938.85_1947.88.wav,antigamente você ia no cine ipiranga eram umas poltronas ótimas tinha lá em cima você ficava bem acomodada hoje em dia se você,antigamente você ia no cine piranga eram umas poltronas ótimas tinha lá em cima você ficava bem acomodada hoje em dia se você,mantemente se é nosso irando a pera e o bar o pessoal lá só um irmão seu a essa senhora estava chegando o normal o seu enxer,lpantidamente você ia no uingipiranda se não se você se assim se a gente se,0.0435,0.0079,1.1304,0.7222,0.7826,0.6032,contidamente se ia noci piranga era uma sopa umas homens assim,0.9565217391304348,0.6190476190476191
SP_DID_234_seg_2007.04_2007.78.wav,o que eu noto é isso,que eu anoto é isso,porque o luto é que sou,porque eu noto isso,0.3333,0.15,1.0,0.55,0.5,0.2,o que eu volto é isso,0.16666666666666666,0.1
